Genotype	day	phase	value	n_batches
"DGRP517"	3	"Night sleep (ZT8-24)"	780.5	2
"DGRP517"	4	"Night sleep (ZT8-24)"	749.5	2
"DGRP517"	5	"Night sleep (ZT8-24)"	734	2
"DGRP517"	6	"Night sleep (ZT8-24)"	748.5	2
"DGRP783"	1	"Night sleep (ZT8-24)"	597.5	2
"DGRP783"	2	"Night sleep (ZT8-24)"	581.329770594369	2
"DGRP783"	3	"Night sleep (ZT8-24)"	540.25	2
"DGRP783"	4	"Night sleep (ZT8-24)"	509	2
"DGRP783"	5	"Night sleep (ZT8-24)"	516.75	2
"DGRP783"	6	"Night sleep (ZT8-24)"	517	2
"DGRP897"	1	"Night sleep (ZT8-24)"	728.5	1
"DGRP897"	2	"Night sleep (ZT8-24)"	701	1
"DGRP897"	3	"Night sleep (ZT8-24)"	715.5	1
"DGRP897"	4	"Night sleep (ZT8-24)"	709.5	1
"DGRP897"	5	"Night sleep (ZT8-24)"	709	1
"DGRP897"	6	"Night sleep (ZT8-24)"	698.5	1
"DGRP913"	1	"Night sleep (ZT8-24)"	473	1
"DGRP913"	2	"Night sleep (ZT8-24)"	434.5	1
"DGRP913"	3	"Night sleep (ZT8-24)"	456	1
"DGRP913"	4	"Night sleep (ZT8-24)"	425	1
"DGRP913"	5	"Night sleep (ZT8-24)"	480.5	1
"DGRP913"	6	"Night sleep (ZT8-24)"	521	1
"DGRP105"	1	"Night sleep (ZT8-24)"	587.5	1
"DGRP105"	2	"Night sleep (ZT8-24)"	606.5	1
"DGRP105"	3	"Night sleep (ZT8-24)"	520.5	1
"DGRP105"	4	"Night sleep (ZT8-24)"	458	1
"DGRP105"	5	"Night sleep (ZT8-24)"	486	1
"DGRP105"	6	"Night sleep (ZT8-24)"	617.5	1
"DGRP310"	1	"Night sleep (ZT8-24)"	523.25	2
"DGRP310"	2	"Night sleep (ZT8-24)"	438.25	2
"DGRP310"	3	"Night sleep (ZT8-24)"	371.5	2
"DGRP310"	4	"Night sleep (ZT8-24)"	348.5	2
"DGRP310"	5	"Night sleep (ZT8-24)"	327.75	2
"DGRP310"	6	"Night sleep (ZT8-24)"	331.5	2
"DGRP136"	1	"Night sleep (ZT8-24)"	696.5	1
"DGRP136"	2	"Night sleep (ZT8-24)"	723	1
"DGRP136"	3	"Night sleep (ZT8-24)"	668	1
"DGRP136"	4	"Night sleep (ZT8-24)"	659.5	1
"DGRP136"	5	"Night sleep (ZT8-24)"	635.5	1
"DGRP136"	6	"Night sleep (ZT8-24)"	598	1
"DGRP502"	1	"Night sleep (ZT8-24)"	422	2
"DGRP502"	2	"Night sleep (ZT8-24)"	484.5	2
"DGRP502"	3	"Night sleep (ZT8-24)"	496.75	2
"DGRP502"	4	"Night sleep (ZT8-24)"	563	2
"DGRP502"	5	"Night sleep (ZT8-24)"	560	2
"DGRP502"	6	"Night sleep (ZT8-24)"	608.25	2
"DGRP513"	1	"Night sleep (ZT8-24)"	174.833333333333	3
"DGRP513"	2	"Night sleep (ZT8-24)"	255.5	3
"DGRP513"	3	"Night sleep (ZT8-24)"	336.333333333333	3
"DGRP513"	4	"Night sleep (ZT8-24)"	386.666666666667	3
"DGRP513"	5	"Night sleep (ZT8-24)"	384.666666666667	3
"DGRP513"	6	"Night sleep (ZT8-24)"	392.166666666667	3
"DGRP832"	1	"Night sleep (ZT8-24)"	440.5	2
"DGRP832"	2	"Night sleep (ZT8-24)"	368.25	2
"DGRP832"	3	"Night sleep (ZT8-24)"	418	2
"DGRP832"	4	"Night sleep (ZT8-24)"	422	2
"DGRP832"	5	"Night sleep (ZT8-24)"	368.5	2
"DGRP832"	6	"Night sleep (ZT8-24)"	425.75	2
"DGRP40"	1	"Night sleep (ZT8-24)"	664.5	3
"DGRP40"	2	"Night sleep (ZT8-24)"	615	3
"DGRP40"	3	"Night sleep (ZT8-24)"	539.666666666667	3
"DGRP40"	4	"Night sleep (ZT8-24)"	530	3
"DGRP40"	5	"Night sleep (ZT8-24)"	503.666666666667	3
"DGRP40"	6	"Night sleep (ZT8-24)"	527.333333333333	3
"DGRP181"	1	"Night sleep (ZT8-24)"	545.25	2
"DGRP181"	2	"Night sleep (ZT8-24)"	524.25	2
"DGRP181"	3	"Night sleep (ZT8-24)"	564	2
"DGRP181"	4	"Night sleep (ZT8-24)"	568.75	2
"DGRP181"	5	"Night sleep (ZT8-24)"	592.25	2
"DGRP181"	6	"Night sleep (ZT8-24)"	611.5	2
"DGRP217"	1	"Night sleep (ZT8-24)"	649	2
"DGRP217"	2	"Night sleep (ZT8-24)"	589	2
"DGRP217"	3	"Night sleep (ZT8-24)"	558	2
"DGRP217"	4	"Night sleep (ZT8-24)"	544.75	2
"DGRP217"	5	"Night sleep (ZT8-24)"	551	2
"DGRP217"	6	"Night sleep (ZT8-24)"	568.25	2
"DGRP336"	1	"Night sleep (ZT8-24)"	783.5	4
"DGRP336"	2	"Night sleep (ZT8-24)"	771.375	4
"DGRP336"	3	"Night sleep (ZT8-24)"	774	4
"DGRP336"	4	"Night sleep (ZT8-24)"	770	4
