Genotype	Batch	slot	value	n_flies	signal	zt	nb	n	label
"CS"	"Batch14_DGRP"	21	0.456666666666667	12	"moving"	10.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	22	0.305555555555556	12	"moving"	11.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	23	0.183333333333333	12	"moving"	11.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	24	0.0966666666666667	12	"moving"	12.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	25	0.0427777777777778	12	"moving"	12.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	26	0.0122222222222222	12	"moving"	13.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	27	0.00888888888888889	12	"moving"	13.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	28	0.00111111111111111	12	"moving"	14.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	29	0.01	12	"moving"	14.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	30	0.00888888888888889	12	"moving"	15.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	31	0.00222222222222222	12	"moving"	15.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	32	0.00777777777777778	12	"moving"	16.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	33	0.01	12	"moving"	16.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	34	0.00222222222222222	12	"moving"	17.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	35	0.00555555555555555	12	"moving"	17.75	22	577	"CS
n = 577 flies, 22 batches"
