trait	rank	n	expected	observed	low	high
"NightSleepChange"	402	1428812	3.5512895394045	3.46437553664691	3.50932768864188	3.59427578979389
"NightSleepChange"	405	1428812	3.54805656307091	3.46042211665469	3.50624875803107	3.59088117981974
"NightSleepChange"	409	1428812	3.54378302815077	3.45697675900758	3.50217799352765	3.58639493050843
"NightSleepChange"	413	1428812	3.53955113613326	3.45304791091386	3.49814593956466	3.58195344918469
"NightSleepChange"	416	1428812	3.53640406089907	3.45022330330791	3.4951468607768	3.57865118719365
"NightSleepChange"	420	1428812	3.53224312385448	3.44597748775438	3.49118079746803	3.57428594920155
"NightSleepChange"	424	1428812	3.52812167435248	3.4428466335474	3.48725147662096	3.56996312179782
"NightSleepChange"	427	1428812	3.52505605351566	3.44200103660721	3.48432818936527	3.56674834422409
"NightSleepChange"	431	1428812	3.52100193322953	3.43722432576975	3.48046154647768	3.56249779683024
"NightSleepChange"	435	1428812	3.51698530823452	3.43401412594993	3.47662982474066	3.5582874835443
"NightSleepChange"	439	1428812	3.51300549131714	3.43382540328734	3.47283239540658	3.55411665418326
"NightSleepChange"	443	1428812	3.50906181398536	3.4301206831898	3.46906864660529	3.54998457929227
