phenotype	Batch	Genotype	value	n_flies	n_retained	mad	q25	q75	metric	contrast	family	selection_class
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"CS"	-0.156894611616713	12	12	0.137191342644544	-0.205737265283779	-0.0118545750063737	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP26"	-0.103820292957207	9	9	0.156314743336357	-0.209253142907536	-0.0612099634843587	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP32"	-0.0842697824847667	29	29	0.206905188708827	-0.189244426167983	0.0623769824046765	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP41"	-0.151695159121529	25	25	0.226241591593177	-0.260344507006956	0.0305480861085864	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP45"	0.00386093014893621	25	25	0.1597202766376	-0.103868920544171	0.106857111403124	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP48"	0.0904322499758289	22	22	0.136620369390262	0.0152067469522489	0.18706409820617	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP57"	-0.122795747805863	21	21	0.237043153534281	-0.223044264922532	0.0486828451038694	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP75"	-0.0951778230005279	24	24	0.11029274534441	-0.141368545522993	-0.00672863097880197	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP83"	0.035350895749919	7	7	0.33689601912772	-0.151190581603243	0.238008298755263	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP85"	-0.0342041721952547	21	21	0.176056092125531	-0.134299615249963	0.0921784763689704	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch14_DGRP"	"DGRP820"	-0.249164756763779	17	17	0.300704811725336	-0.397407358142709	-0.00110517852898606	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch15_DGRP"	"CS"	-0.155763870112238	30	30	0.159642487487712	-0.24404073500143	-0.0439426528321343	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch15_DGRP"	"DGRP93"	-0.126156853939964	30	30	0.243137732768272	-0.284835014248364	0.024866746493893	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch15_DGRP"	"DGRP100"	-0.0508722433846251	28	28	0.211622574120903	-0.199689528632281	0.0370818541834542	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch15_DGRP"	"DGRP109"	-0.00156916914705338	30	30	0.102095179688407	-0.0709070826972568	0.0611469155367797	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
