model	resampling	bin	zt	median	q025	q975
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	45	22.25	0.174929763378475	0.168730452798323	0.181535556015506
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	46	22.75	0.17098514985986	0.165148006064044	0.177138621377887
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	47	23.25	0.121992248189091	0.112289185329874	0.132784216727667
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	48	23.75	0.1187296600401	0.103604917681037	0.13165287069325
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	1	0.25	-0.212085824204491	-0.258151784832294	-0.178354272942354
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	2	0.75	-0.227800861742342	-0.267920514390543	-0.194712932372896
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	3	1.25	-0.216530309224428	-0.243955233336987	-0.188631541983578
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	4	1.75	-0.205753695465974	-0.223218360219054	-0.183492577637996
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	5	2.25	-0.187507682538805	-0.203302455164015	-0.169880450625981
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	6	2.75	-0.173673692044328	-0.18721735349539	-0.158059467191424
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	7	3.25	-0.156329650492757	-0.168538080139857	-0.141068210426501
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	8	3.75	-0.152616960833237	-0.170971029944292	-0.137260403506414
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	9	4.25	-0.148742785904223	-0.164922594865071	-0.132299700251061
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	10	4.75	-0.141182899449428	-0.162002667108221	-0.125811138758815
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	11	5.25	-0.123038940492784	-0.140612435194731	-0.109376048208155
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	12	5.75	-0.116098470020365	-0.126693988437552	-0.100424112494896
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	13	6.25	-0.116052552713079	-0.131829584643737	-0.095825818775121
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	14	6.75	-0.118693581914387	-0.13670676159322	-0.0996408172552501
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	15	7.25	-0.0111486534911227	-0.0290879725288231	0.0133959302453782
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	16	7.75	0.124869191279056	0.0949982376615504	0.163552219654355
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	17	8.25	0.204345237709096	0.176654180122627	0.227544638579361
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	18	8.75	0.275549548952405	0.251182812015335	0.299853193194706
"moving_centered_shape"	"within_cell_whole_fly_refit_batch_and_PCA"	19	9.25	0.286337055963151	0.258419616675198	0.310290676824379
