deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_362"	-111.053828137338	26.0711151666511	2.04747173092099e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0942501355780845
"line_365"	-112.621982974299	26.0468885664374	1.53352428104403e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0312771218978556
"line_370"	-111.659953196021	26.0442284020273	1.80841318565946e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.040329886270599
"line_371"	-108.434808954148	26.569327799233	4.48032846467952e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.434342075768686
"line_373"	-111.791879713754	26.030799136877	1.75008289603418e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0260908416960142
"line_374"	-120.076995557221	26.6698322626857	6.72052809748272e-06	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.389564377518147
"line_375"	-111.45303231122	26.0466595599256	1.87755066408077e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0566238862264044
"line_377"	-112.208910876434	26.0275558450952	1.62401657790686e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00637732047757478
"line_379"	-111.763776908952	26.0516336313652	1.78603071474521e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0349211446012507
"line_38"	-114.542780559788	26.0502565817487	1.09761179839085e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.176519011985785
"line_380"	-112.052062625322	26.0421421083769	1.68713513585307e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0101820913564019
"line_381"	-112.276536872707	26.0381630785195	1.61785061426612e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00802936052432024
"line_382"	-111.033135140512	26.0427949988467	2.01260619096872e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0867910256182496
"line_383"	-111.845302367657	26.0297428938926	1.73260298736982e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0217312802092344
"line_385"	-112.116518328807	26.0317469778325	1.6554727965145e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00195426995244308
"line_386"	-112.626653440169	26.0319215521625	1.51509340234518e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0365283716571421
"line_390"	-112.240892170915	26.0321534414401	1.62058873455895e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0072949630635426
"line_391"	-112.849604544445	26.0525279826612	1.48017445568417e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0466548736280563
"line_392"	-112.195745052313	26.0326290246832	1.63393159774882e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00373390722037925
"line_395"	-111.706623296676	26.0319698812114	1.77764469133001e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0328771815564064
"line_397"	-112.254858617886	26.0282136052712	1.61189309981983e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00963154250118858
